Peer closed connection.
Connecting to 127.0.0.1:7497 clientId=80 ...
Subscribing to 7 scanner(s) in parallel: TOP_PERC_GAIN, TOP_OPEN_PERC_GAIN, HOT_BY_VOLUME, TOP_STOCK_BUY_IMBALANCE_ADV_RATIO, TOP_VOLUME_RATE, HOT_BY_OPT_VOLUME, HALTED
Observing until 15:58 ET — Ctrl-C to stop early.
[13:20:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,NUSA | TOP_VOLUME_RATE(20)·INFY,MWC,TSLL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:20:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·INFY,NOK,MWC | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:21:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·INFY,MWC,NOK | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:21:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·INFY,MWC,NOK | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:22:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·INFY,MWC,INTC | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:22:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·INFY,MWC,INTC | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:23:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·MWC,INFY,VIAV | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:23:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·MWC,INFY,VIAV | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:24:03] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·MWC,NOK,INFY | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:24:33] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·MWC,NOK,INFY | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
